transaction_id,quarter,region,product_line,units_sold,unit_price,gross_revenue,cogs,operating_expense,net_margin
CA-2016-152156,2016-Q4,South,Furniture,2,130.98,261.96,154.03,66.02,41.91
CA-2016-152156,2016-Q4,South,Furniture,3,243.98,731.94,358.65,153.71,219.58
CA-2016-138688,2016-Q2,West,Office Supplies,2,7.31,14.62,5.42,2.33,6.87
US-2015-108966,2015-Q4,South,Furniture,5,191.52,957.58,938.43,402.18,-383.03
US-2015-108966,2015-Q4,South,Office Supplies,2,11.18,22.37,13.89,5.96,2.52
CA-2014-115812,2014-Q2,West,Furniture,7,6.98,48.86,24.28,10.41,14.17
CA-2014-115812,2014-Q2,West,Office Supplies,4,1.82,7.28,3.72,1.59,1.97
CA-2014-115812,2014-Q2,West,Technology,6,151.19,907.15,571.5,244.93,90.72
CA-2014-115812,2014-Q2,West,Office Supplies,3,6.17,18.5,8.9,3.82,5.78
CA-2014-115812,2014-Q2,West,Office Supplies,5,22.98,114.9,56.3,24.13,34.47
CA-2014-115812,2014-Q2,West,Furniture,9,189.58,1706.18,1134.61,486.26,85.31
CA-2014-115812,2014-Q2,West,Technology,4,227.86,911.42,590.14,252.92,68.36
CA-2017-114412,2017-Q2,South,Office Supplies,3,5.18,15.55,7.08,3.03,5.44
CA-2016-161389,2016-Q4,West,Office Supplies,3,135.99,407.98,192.77,82.62,132.59
US-2015-118983,2015-Q4,Central,Office Supplies,5,13.76,68.81,134.87,57.8,-123.86
US-2015-118983,2015-Q4,Central,Office Supplies,3,0.85,2.54,4.45,1.91,-3.82
CA-2014-105893,2014-Q4,Central,Office Supplies,6,110.98,665.88,456.79,195.77,13.32
CA-2014-167164,2014-Q2,West,Office Supplies,2,27.75,55.5,31.86,13.65,9.99
CA-2014-143336,2014-Q3,West,Office Supplies,2,4.28,8.56,4.26,1.82,2.48
CA-2014-143336,2014-Q3,West,Technology,3,71.16,213.48,138.23,59.24,16.01
CA-2014-143336,2014-Q3,West,Office Supplies,4,5.68,22.72,10.74,4.6,7.38
CA-2016-137330,2016-Q4,Central,Office Supplies,7,2.78,19.46,10.08,4.32,5.06
CA-2016-137330,2016-Q4,Central,Office Supplies,7,8.62,60.34,31.26,13.39,15.69
US-2017-156909,2017-Q3,East,Furniture,2,35.68,71.37,50.67,21.72,-1.02
CA-2015-106320,2015-Q3,West,Furniture,3,348.21,1044.63,563.06,241.31,240.26
CA-2016-121755,2016-Q1,West,Office Supplies,2,5.82,11.65,5.2,2.23,4.22
CA-2016-121755,2016-Q1,West,Technology,3,30.19,90.57,55.16,23.64,11.77
US-2015-150630,2015-Q3,East,Furniture,7,440.49,3083.43,3323.94,1424.54,-1665.05
US-2015-150630,2015-Q3,East,Office Supplies,2,4.81,9.62,11.67,5.0,-7.05
US-2015-150630,2015-Q3,East,Furniture,3,41.4,124.2,76.08,32.6,15.52
US-2015-150630,2015-Q3,East,Office Supplies,2,1.63,3.26,1.51,0.65,1.1
US-2015-150630,2015-Q3,East,Office Supplies,6,14.38,86.3,53.61,22.98,9.71
US-2015-150630,2015-Q3,East,Office Supplies,6,1.14,6.86,8.81,3.77,-5.72
US-2015-150630,2015-Q3,East,Office Supplies,2,7.88,15.76,8.55,3.66,3.55
CA-2017-107727,2017-Q4,Central,Office Supplies,3,9.82,29.47,13.66,5.86,9.95
CA-2016-117590,2016-Q4,Central,Technology,7,156.79,1097.54,681.85,292.22,123.47
CA-2016-117590,2016-Q4,Central,Furniture,5,38.18,190.92,237.22,101.66,-147.96
CA-2015-117415,2015-Q4,Central,Office Supplies,9,12.59,113.33,54.54,23.37,35.42
CA-2015-117415,2015-Q4,Central,Furniture,3,177.47,532.4,405.57,173.81,-46.98
CA-2015-117415,2015-Q4,Central,Furniture,3,70.69,212.06,159.05,68.16,-15.15
CA-2015-117415,2015-Q4,Central,Technology,4,92.79,371.17,230.59,98.82,41.76
CA-2017-120999,2017-Q3,Central,Technology,4,36.79,147.17,91.43,39.18,16.56
CA-2016-101343,2016-Q3,West,Office Supplies,2,38.94,77.88,51.79,22.2,3.89
CA-2017-139619,2017-Q3,South,Office Supplies,2,47.81,95.62,60.24,25.82,9.56
CA-2016-118255,2016-Q1,Central,Technology,2,22.99,45.98,18.35,7.86,19.77
CA-2016-118255,2016-Q1,Central,Office Supplies,2,8.73,17.46,6.47,2.78,8.21
CA-2014-146703,2014-Q4,Central,Office Supplies,4,52.99,211.96,142.44,61.04,8.48
CA-2016-169194,2016-Q2,East,Technology,3,15.0,45.0,28.03,12.02,4.95
CA-2016-169194,2016-Q2,East,Technology,2,10.9,21.8,10.99,4.71,6.1
CA-2015-115742,2015-Q2,Central,Office Supplies,6,6.37,38.22,14.18,6.08,17.96
CA-2015-115742,2015-Q2,Central,Office Supplies,6,12.53,75.18,27.9,11.95,35.33
CA-2015-115742,2015-Q2,Central,Furniture,2,3.08,6.16,2.24,0.96,2.96
CA-2015-115742,2015-Q2,Central,Furniture,1,89.99,89.99,51.02,21.87,17.1
CA-2016-105816,2016-Q4,East,Office Supplies,7,2.18,15.26,6.3,2.7,6.26
CA-2016-105816,2016-Q4,East,Technology,5,205.99,1029.95,511.88,219.38,298.69
CA-2016-111682,2016-Q2,East,Office Supplies,6,34.76,208.56,109.49,46.93,52.14
CA-2016-111682,2016-Q2,East,Office Supplies,5,6.48,32.4,11.79,5.06,15.55
CA-2016-111682,2016-Q2,East,Furniture,5,63.88,319.41,218.62,93.69,7.1
CA-2016-111682,2016-Q2,East,Office Supplies,2,7.28,14.56,5.3,2.27,6.99
CA-2016-111682,2016-Q2,East,Technology,2,15.0,30.0,18.69,8.01,3.3
CA-2016-111682,2016-Q2,East,Office Supplies,4,12.12,48.48,22.48,9.64,16.36
CA-2016-111682,2016-Q2,East,Office Supplies,1,1.68,1.68,0.59,0.25,0.84
